ID,Sex,BM,BH,SH,CA,Dif APHV,APHV,S 0-10,S 10-30,S 0-30,S 30-60,S 0-60,FOST,BOST,TH,FJT,CMJ,DJ,12MR
28,f,64.5,172.9,90.1,15.57,3.26,12.31,,,4.43,3.75,8.18,12.74,14.48,6.525,,35.3,1.44,2420
29,f,73.3,178.2,96.3,16.05,4.07,11.99,1.88,2.62,4.63,4.02,8.65,11.94,13.12,8.19,14.2,34.6,1.98,2135
29,f,77.8,179.1,96.1,17.07,4.63,12.43,2.02,2.83,4.86,4.13,9,12.2,13.42,7.95,13.3,36.3,1.93,2450
30,f,65.9,177,91,16.52,3.98,12.55,1.88,2.6,4.48,3.74,8.22,12.29,12.62,8.825,15.2,33.5,1.38,2480
30,f,72.7,179,90,17.5,4.5,13,1.81,2.63,4.44,3.75,8.19,,,8.45,15.25,35.2,1.46,2450
31,f,58.6,177,92,15.63,3.53,12.1,1.91,2.64,4.55,3.91,8.46,11.22,12.02,8,12.85,30.5,1.25,2410
31,f,62.3,180,92,16.61,4.2,12.41,1.8,2.67,4.47,3.96,8.43,12.06,14.7,8.275,13.33,36,1.46,2400
32,f,69.4,182,95,16.09,4.15,11.94,1.8,2.29,4.3,4.07,8.41,12.73,12.69,7.525,11.9,34.3,1.03,2180
32,f,71.5,183,94,17.07,4.67,12.39,1.91,2.8,4.71,4.08,8.79,12.77,13.8,7.36,12.7,38.2,1.2,1600
32,f,74,184.0,96,18.04,5.37,12.67,1.8,2.72,4.52,4.07,8.59,13.75,14.95,7.55,12.7,37.8,1.26,
33,f,83.8,178,93.5,18.18,4.99,13.19,1.74,2.71,4.45,4.1,8.55,16.1,17.4,8.17,14.4,35.5,1.29,2000
33,f,80.5,176,93,16.68,4.14,12.55,1.78,2.59,4.37,3.71,8.08,15.15,16.72,,,,1.31,1980
34,f,68.8,177,93,16.38,4.01,12.37,1.8,2.66,4.46,3.91,8.4,13.72,15.48,9,13.8,41.5,1.45,2430
34,f,71.1,177.5,94,17.82,4.87,12.95,1.84,2.66,4.53,3.98,8.51,13.9,16.70,8.08,14.08,40.2,1.79,2300
34,f,63.9,176,92.4,15.34,3.37,11.98,1.73,2.59,4.36,3.72,8.08,12.29,15.05,,,,1.43,2350
35,f,61.1,173,88,14.61,2.62,11.99,1.91,2.73,4.64,4.06,8.7,9.2,9.42,7.15,13,34,0.78,2080
35,f,67.5,174,88,15.59,3.2,12.39,1.85,2.77,4.62,4.05,8.67,11.7,12.15,7.225,13.2,33.4,1.01,2250
36,f,61,173,84,14.45,2.32,12.13,1.79,2.61,4.4,3.72,8.12,11.65,13.66,8.945,15.2,36,1.53,2540
36,f,65,174,89,15.43,3.16,12.27,1.75,2.49,4.25,3.52,7.77,12.75,15.04,9.19,16.6,42.8,1.85,2440
37,f,69.2,176,94,13.99,2.73,11.26,1.88,2.72,4.6,3.86,8.46,12.83,13.96,8.05,12.15,35,1.13,2420
37,f,72,177,94,14.97,3.31,11.66,1.88,2.62,4.57,3.82,8.39,13,14.62,8.375,13,36.7,1.41,2470
37,f,74.8,177.5,95,15.43,3.63,11.79,1.88,2.72,4.61,3.97,8.61,12.85,14.25,7.84,13.03,36.7,1.45,2480
38,f,81.5,181.4,97.6,15,3.69,11.31,1.81,2.71,4.52,3.97,8.49,13.9,14.4,8.055,14.03,35.3,1.35,2190
38,f,88.5,180,95,16.02,4.04,11.98,1.86,2.74,4.6,4.04,8.64,13.85,14.5,,13.54,,,2310
39,f,71.3,179,93.5,15.8,3.8,12,,,4.44,3.76,8.2,14.8,15.04,7.085,,42.7,1.8,
40,f,59,171,90,15.04,2.88,12.16,1.91,2.87,4.78,4.07,8.85,11.8,12.2,7.85,14.43,37,1.38,2410
41,f,61.2,171,92,14.36,2.62,11.74,1.84,2.6,4.47,3.74,8.21,13.12,11.98,8.09,14.28,35,1.6,
42,f,60.3,171,88,14.49,2.49,12.01,1.82,2.55,4.37,3.66,8.04,12.08,12.23,8.795,15.58,43,2.09,2550
43,f,56.3,165,86,13.95,1.87,12.08,1.86,2.87,4.73,4.34,9.07,10.17,10.41,7.28,11.7,25,1.01,2170
44,f,77.5,170.0,89,15.66,3.19,12.46,1.84,2.64,4.49,3.79,8.29,14,12.25,7.66,13.7,43.4,1.24,2620
45,f,56.3,169.6,88.7,16.08,3.31,12.76,,,4.43,3.81,8.24,12.61,12.62,7.175,,40.8,1.68,
46,f,62.7,171.7,89.1,15.5,3.12,12.38,,,4.21,3.72,7.93,13.25,14.44,6.9,,33.9,1.52,
47,f,46,161,86,14.66,2.03,12.63,1.83,2.72,4.55,4.03,8.58,9,9.8,7.37,,37.59,1.68,
48,f,69.7,178.2,91.1,15.67,3.56,12.11,,,4.6,3.97,8.57,14.4,15.7,5.97,,33.5,1.29,
49,f,67.3,172,90,13.56,2.17,11.39,1.86,2.78,4.64,4.06,8.7,10.65,10.2,8.08,12.59,35,1.54,2400
50,f,60.9,167,87,13.68,1.88,11.8,1.91,2.85,4.76,4.2,8.96,10.2,10.7,7.15,11.7,32.5,1.29,2100
51,f,89.9,179.0,92,15.23,3.45,11.78,2.12,3.01,5.13,4.51,9.64,11.8,11.41,,12.1,33.79,1.05,2070
52,f,57.8,158.5,84.5,12.83,1.05,11.77,1.98,2.85,4.83,4.22,9.05,10.5,11.55,6.05,10.37,35.6,1.09,1920
53,f,70.6,172,93.5,13.3,2.23,11.07,2.05,3.09,5.14,4.63,9.77,9.8,9.4,5.13,8.73,26.8,1.19,1875
54,f,59.8,169,91,13.62,2.09,11.53,1.85,2.72,4.57,4.11,8.68,11.55,11.35,,,34.8,1.43,
55,f,79.1,175.7,89,16.18,3.63,12.54,,,4.44,3.73,8.17,14.09,14.2,6.74,,36,1.57,
56,f,73,174.0,91,13.53,2.31,11.22,2,2.77,4.77,4.04,8.81,12.56,12.76,7.79,12.8,38.21,1.27,2350
57,f,76.5,179.0,93,13.65,2.64,11.01,1.94,2.79,4.73,4.07,8.8,12.61,11.85,7.95,12.9,33.76,1.27,2320
58,f,78.5,169,89,18.76,4.68,14.08,1.86,2.61,4.47,3.94,8.41,14.42,15.79,6.31,,,,
59,f,81,180,99,17.14,4.87,12.27,1.83,2.63,4.46,3.67,8.13,14.59,16.84,6.74,,38.8,1.91,2100
60,f,88.1,176.4,90,16.05,3.66,12.39,,,4.5,3.82,8.32,14.83,17.42,6.83,,41.3,1.22,
61,f,64,159,82.5,15.58,2.39,13.19,1.99,2.97,4.96,4.41,9.37,9.79,10.15,5.445,,31.5,1.39,
62,f,68.5,172,89,15.05,2.91,12.14,1.85,2.7,4.55,3.97,8.52,14.03,14.53,6.555,,,,2405
63,f,77.8,183,90,15.81,3.75,12.06,1.85,2.73,4.58,3.84,8.42,12.7,14.76,6.72,,,,2700
64,f,73,172.0,92,15.67,3.41,12.26,1.91,2.81,4.78,4.11,8.95,11.75,12.10,7.73,12.83,29.4,1.35,
65,f,64,166.7,93.5,15.82,3.36,12.46,1.85,2.67,4.54,3.81,8.37,11.85,12.44,8.27,13.48,37.2,1.52,2615
66,f,80.3,182.5,96.5,15.59,3.98,11.61,1.92,2.86,4.83,4.22,9.13,12.68,13.87,8.56,15.05,38,1.23,2380
67,f,59.1,167.0,87,15.27,2.71,12.57,1.92,2.72,4.64,4.12,8.76,10.1,11.08,7.23,12.2,33.9,1.38,2210
68,f,77,170.0,90,14.25,2.55,11.7,2.11,3.04,5.16,4.53,9.69,9.5,10.21,7.04,11.87,25.1,0.96,2190
69,f,93.4,170,93,17.05,4.12,12.94,2.06,3.23,5.29,4.67,9.96,10.3,11.55,4.71,,24.74,0.81,2000
70,f,72.1,175,94,18.46,5.11,13.35,1.98,2.83,4.81,4.1,8.91,13.3,14.2,6,,33.6,1.63,
71,f,60.9,165.4,89,15.07,2.66,12.41,,,4.5,3.99,8.49,11,12.29,6.145,,29.9,1.76,2100
72,f,87.5,170.5,90,17.53,4.18,13.35,1.88,2.89,4.77,4.05,8.82,14.65,15.45,6.075,,43.17,1.35,1990
73,f,59.5,167.5,90,17.59,4.13,13.46,2.02,2.74,4.76,4.19,8.95,11.3,12.4,5.61,,36.95,1.51,2320
74,f,69.9,173.0,92,15.66,3.43,12.23,1.88,2.72,4.6,3.92,8.52,11.95,12.06,7.48,14.2,32.5,1.4,2670
75,f,73.5,166.0,91,15.1,2.88,12.22,1.95,2.93,4.88,4.31,9.19,10.61,12.80,6.70,12.45,29.2,1.06,
76,f,61.7,172.6,89.9,15.7,3.3,12.4,1.8,2.5,4.3,3.67,7.97,14.6,14.6,7.86,,47.9,1.91,2370
77,f,63.5,165.5,90,15.63,3.03,12.6,1.83,2.83,4.66,4.24,8.9,10.32,11.64,7.13,13.2,33.4,1.38,2480
78,f,56.6,166.0,91,14.67,2.54,12.13,1.86,2.86,4.72,4.05,8.77,9.91,10.02,7.63,13.27,33.3,1.52,2700
79,f,66.4,175.0,91,14.69,2.91,11.78,1.87,2.7,4.57,3.83,8.4,12.44,13.03,7.95,13.51,35.6,1.8,2080
80,f,58.3,176,91,14.53,2.82,11.71,1.79,2.54,4.33,3.49,7.82,13.34,13.68,9.20,15.91,44,2.01,2550
81,f,74.6,175.5,92,14.07,2.7,11.38,1.9,2.78,4.68,3.99,8.67,10.6,11.57,7.43,13.42,34,0.9,2580
82,f,67.7,174.0,91,14.75,2.92,11.83,1.96,2.67,4.63,3.98,8.61,11.39,10.63,8.05,13.88,39,1.71,2210
83,f,73.2,167.0,89,15.28,2.89,12.39,1.81,2.75,4.56,4.02,8.58,10.08,10.49,6.63,12.4,37.1,1.07,2010
